catalog_id,work_id,title,author,alternate_titles,author_aliases,edition,contains_work_ids,notes
49,divergent,Divergent,Veronica Roth,,,Katherine Tegen 2011,,Popular YA
50,fault_stars,The Fault in Our Stars,John Green,,,Dutton 2012,,Popular YA
51,da_vinci_code,The Da Vinci Code,Dan Brown,,,Doubleday 2003,,Popular thriller
52,girl_train,The Girl on the Train,Paula Hawkins,,,Riverhead 2015,,Popular thriller
53,gone_girl,Gone Girl,Gillian Flynn,,,Crown 2012,,Popular thriller
54,girl_dragon_tattoo,The Girl with the Dragon Tattoo,Stieg Larsson,,,Norstedt 2005,,Popular thriller
55,shining,The Shining,Stephen King,,,Doubleday 1977,,Popular horror
56,it,It,Stephen King,,,Viking 1986,,Popular horror
57,stand,The Stand,Stephen King,,,Doubleday 1978,,Popular horror
58,help,The Help,Kathryn Stockett,,,Putnam 2009,,Popular fiction
59,kite_runner,The Kite Runner,Khaled Hosseini,,,Riverhead 2003,,Popular fiction
60,book_thief,The Book Thief,Markus Zusak,,,Picador 2005,,Popular fiction
61,life_pi,Life of Pi,Yann Martel,,,Knopf Canada 2001,,Popular fiction
62,alchemist,The Alchemist,Paulo Coelho,,,HarperCollins 1988,,Popular fiction
63,color_purple,The Color Purple,Alice Walker,,,Harcourt 1982,,Popular fiction
64,beloved,Beloved,Toni Morrison,,,Knopf 1987,,Popular fiction
65,hundred_solitude,One Hundred Years of Solitude,Gabriel García Márquez,,"García Márquez, Gabriel|Gabriel Garcia Marquez|Marquez, Gabriel Garcia",Harper & Row 1967,,Popular fiction
66,love_cholera,Love in the Time of Cholera,Gabriel García Márquez,,"García Márquez, Gabriel|Gabriel Garcia Marquez|Marquez, Gabriel Garcia",Knopf 1985,,Popular fiction
67,brothers_karamazov,The Brothers Karamazov,Fyodor Dostoevsky,,"Dostoyevsky, Fyodor|Fyodor Dostoyevsky|Dostoevski",The Russian Messenger 1880,,Classic literature
68,crime_punishment,Crime and Punishment,Fyodor Dostoevsky,,"Dostoyevsky, Fyodor|Fyodor Dostoyevsky|Dostoevski",The Russian Messenger 1866,,Classic literature
69,anna_karenina,Anna Karenina,Leo Tolstoy,,"Tolstoy, Leo|Lev Tolstoy",The Russian Messenger 1877,,Classic literature
70,war_peace,War and Peace,Leo Tolstoy,,"Tolstoy, Leo|Lev Tolstoy",The Russian Messenger 1869,,Classic literature
71,grapes_wrath,The Grapes of Wrath,John Steinbeck,,,Viking 1939,,Classic literature
72,east_eden,East of Eden,John Steinbeck,,,Viking 1952,,Classic literature
73,mice_men,Of Mice and Men,John Steinbeck,,,Covici Friede 1937,,Classic literature
74,lord_flies,Lord of the Flies,William Golding,,,Faber and Faber 1954,,Classic literature
75,animal_farm,Animal Farm,George Orwell,,"Orwell, George|Eric Blair",Secker and Warburg 1945,,Classic literature
76,jane_eyre,Jane Eyre,Charlotte Brontë,,"Brontë, Charlotte|Charlotte Bronte|Bronte, Charlotte",Smith Elder & Co 1847,,Classic literature
77,wuthering_heights,Wuthering Heights,Emily Brontë,,"Brontë, Emily|Emily Bronte|Bronte, Emily",Thomas Newby 1847,,Classic literature
78,frankenstein,Frankenstein,Mary Shelley,,,Lackington 1818,,Classic literature
79,dracula,Dracula,Bram Stoker,,,Archibald Constable 1897,,Classic literature
80,picture_dorian,The Picture of Dorian Gray,Oscar Wilde,,,Lippincott 1890,,Classic literature
81,sapiens,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Sapiens,"Harari, Yuval Noah|Yuval Harari",Harper 2011,,Popular nonfiction
82,educated,Educated,Tara Westover,,,Random House 2018,,Popular memoir
83,becoming,Becoming,Michelle Obama,,,Crown 2018,,Popular memoir
84,atomic_habits,Atomic Habits,James Clear,,,Avery 2018,,Popular self-help
85,subtle_art,The Subtle Art of Not Giving a F*ck,Mark Manson,The Subtle Art of Not Giving a Fuck,,HarperOne 2016,,Popular self-help
86,thinking_fast_slow,Thinking Fast and Slow,Daniel Kahneman,,"Kahneman, Daniel",Farrar Straus 2011,,Popular psychology
87,power_habit,The Power of Habit,Charles Duhigg,,,Random House 2012,,Popular psychology
88,quiet,Quiet: The Power of Introverts,Susan Cain,Quiet,"Cain, Susan",Crown 2012,,Popular psychology
89,outliers,Outliers: The Story of Success,Malcolm Gladwell,Outliers,"Gladwell, Malcolm",Little Brown 2008,,Popular nonfiction
90,tipping_point,The Tipping Point,Malcolm Gladwell,,,Little Brown 2000,,Popular nonfiction
91,blink,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Blink,"Gladwell, Malcolm",Little Brown 2005,,Popular nonfiction
92,freakonomics,Freakonomics,Steven Levitt,,,William Morrow 2005,,Popular nonfiction
93,brief_history_time,A Brief History of Time,Stephen Hawking,,"Hawking, Stephen",Bantam 1988,,Popular science
94,cosmos,Cosmos,Carl Sagan,,,Random House 1980,,Popular science
95,selfish_gene,The Selfish Gene,Richard Dawkins,,,Oxford 1976,,Popular science
96,origin_species,On the Origin of Species,Charles Darwin,The Origin of Species,,John Murray 1859,,Classic science
97,immortal_life,The Immortal Life of Henrietta Lacks,Rebecca Skloot,,,Crown 2010,,Popular science
98,born_crime,Born a Crime,Trevor Noah,,,Spiegel & Grau 2016,,Popular memoir
99,know_why_caged_bird,I Know Why the Caged Bird Sings,Maya Angelou,,,Random House 1969,,Popular memoir
100,night,Night,Elie Wiesel,,,Hill & Wang 1956,,Popular memoir
101,diary_anne_frank,The Diary of a Young Girl,Anne Frank,The Diary of Anne Frank,"Frank, Anne",Contact Publishing 1947,,Popular memoir
102,into_wild,Into the Wild,Jon Krakauer,,,Villard 1996,,Popular nonfiction
103,into_thin_air,Into Thin Air,Jon Krakauer,,,Villard 1997,,Popular nonfiction
104,devil_white_city,The Devil in the White City,Erik Larson,,,Crown 2003,,Popular nonfiction
105,unbroken,Unbroken,Laura Hillenbrand,,,Random House 2010,,Popular nonfiction
